title,description,v_pub_datetime,video_id,category_id
Украинский фронт - ШОК атака у Коксохима. Новая линия обороны ВСУ. Война дронов. 28 февраля 2024,Телеграм Rutube Tiktok /@user9130293868176 ВК Дзен   Поддержать канал  Посмотреть на Бусти (поддержать канал)  Как перевести деньги между США и Россией. Часть 1 - отправим деньги из американского банка в российский. Полное видео выложил на Бусти - -133c-441c-b45b-9af01dfd70de,2024-02-28 19:50:12+03:00,62b119fa-2968-4332-997b-f1218851e24b,Разное
Первый канал. Прямой эфир,,2022-05-19 15:11:57+03:00,bed03c04-a38b-4933-bc95-fec544c8bdf8,Телепередачи
ТУРНИР В THE FINALS || ОБИДНОЕ ПОРАЖЕНИЕ ?!,TG - YAPPY - TT - /@skushneruk,2024-08-02 16:03:07+03:00,476d857c-865c-4589-ad7b-c12caa153e6c,Видеоигры
Украинский фронт - окружение ВСУ под Горловкой. Осталось 4 км. Очеретино ВСУ потетяли 7 деревень. 31,Телеграм Rutube Tiktok /@vofloride ВК Дзен   Поддержать канал  Посмотреть на Бусти (поддержать канал)  Как перевести деньги между США и Россией. Часть 1 - отправим деньги из американского банка в российский. Полное видео выложил на Бусти - -133c-441c-b45b-9af01dfd70de,2024-07-31 19:11:08+03:00,c24b1852-0c9f-4573-ab20-5031758953b5,Разное
"Экстрасенсы. Битва сильнейших, 14 выпуск","Сильнейшие экстрасенсы, уже знакомые зрителям, сойдутся в схватке. Самые сложные испытания, самые невероятные и трогательные истории.",2023-09-09 21:30:09+03:00,7ef90fe0-3535-4767-b64b-2dbdee90630b,Телепередачи
"Экстрасенсы. Битва сильнейших, 19 выпуск","Премьера. Сильнейшие экстрасенсы, уже знакомые зрителям, сойдутся в схватке. Самые сложные испытания, самые невероятные и трогательные истории. Впервые экстрасенсы пройдут «трехступенчатую» оценку своих способностей, в которой важную роль сыграют зрители ТНТ. В каждом выпуске они смогут решить, кто был лучшим и достойным.",2023-10-14 21:00:25+03:00,09ead297-8e70-429b-b752-f210f78cca08,Телепередачи
Украинский фронт - атака ВСУ на Суджу. Украинские войска бегут из КОТЛА. 6 августа 2024,Телеграм Rutube Tiktok /@vofloride ВК Дзен   Поддержать канал  Посмотреть на Бусти (поддержать канал)  Как перевести деньги между США и Россией. Часть 1 - отправим деньги из американского банка в российский. Полное видео выложил на Бусти - -133c-441c-b45b-9af01dfd70de,2024-08-06 20:27:08+03:00,da0d4bc2-d904-4d16-871d-e3134e8b3ed2,Разное
"Экстрасенсы. Битва сильнейших, 13 выпуск",,2023-09-02 21:30:12+03:00,06f1f05c-39c5-49f3-8154-8ce1a256b052,Телепередачи
Кого ненавидят звезды шоу-биза? ПРЕМИЯ RU TV,,2024-06-04 13:43:39+03:00,d6b91ffb-b106-46fd-8f7d-1dff7ce74c03,Лайфстайл
Самый масштабный Мордовский праздник.  Покш эрзянь чи!,"Друзья, всем большой привет! Или как сказали бы в Пазелках всем ШУМБРАТ. Сегодня мы с вами отправимся на празднование самого масштабного праздника в Пензненской области -Покш эрзянь чи. Посмотрим на местные обычаи, гуляния, танцы, спорт, сами примем участие в праздновании  и попробуем вкусную местную еду!  Село находится в центральной части Пензенской области, в пределах западных склонов Приволжской возвышенности, в лесостепной зоне, на берегах реки Пазелки (приток Вяди), на расстоянии примерно 20 километров (по прямой) к востоку от села Бессоновки, административного центра района. Абсолютная высота — 210 метров над уровнем моря. Основано во второй половине XVII века служилой мордвой. В 1709 году имелось 62 двора и проживало 227 человек (137 мужчин и 90 женщин) из числа ясачной мордвы. В 1748 году в населённом пункте проживало 195 ревизских душ ясачной мордвы. Из них 11 человек были новокрещёнными. Была возведена православная церковь, освящённая во имя Рождества Христова. Всем приятного просмотра и приключения в новое место :)",2024-07-17 21:05:17+03:00,697b89e1-a21c-4b9b-b31a-6837bf06132f,Лайфстайл
